Activity ID,Activity Name,WBS,Discipline,Baseline Start,Baseline Finish,Actual Start,Actual Finish,Forecast Finish,Duration (Planned),Duration (Actual),Variance (days),% Complete,Float (days),Milestone,Critical Path,Predecessor,Status
D-PM-001,Letter of Award (LOA),1.0 Project Management,PM,2024-10-01,2024-10-15,2024-10-15,2024-10-15,2024-10-15,15,15,0,100,0,YES,NO,,Complete
D-PM-002,Kick-Off Meeting Completed,1.0 Project Management,PM,2024-10-16,2024-11-10,2024-11-10,2024-11-10,2024-11-10,25,25,0,100,0,YES,NO,D-PM-001,Complete
D-PM-010,Baseline Schedule Approved,1.0 Project Management,PM,2024-11-11,2024-12-15,2024-12-20,2024-12-20,2024-12-20,35,40,5,100,0,NO,NO,D-PM-002,Complete
D-E-001,FEED Package Review,2.0 Engineering,Engineering,2024-10-15,2025-01-15,2024-10-20,2025-01-28,2025-01-28,92,100,13,100,5,NO,NO,D-PM-001,Complete
D-E-005,Process Datasheet — Column,2.0 Engineering,Engineering,2024-12-01,2025-03-01,2024-12-10,2025-03-15,2025-03-15,91,96,14,100,0,NO,YES,D-E-001,Complete
D-E-010,IFC Drawings — Civil,2.0 Engineering,Civil Engineering,2025-01-15,2025-04-15,2025-01-25,2025-06-01,2025-06-01,90,128,47,100,2,YES,NO,D-E-005,Complete
D-E-015,IFC Drawings — Structural,2.0 Engineering,Structural Engineering,2025-02-01,2025-05-01,2025-02-15,2025-06-20,2025-06-20,90,126,50,100,3,NO,NO,D-E-010,Complete
D-E-020,IFC Drawings — Piping,2.0 Engineering,Piping Engineering,2025-03-01,2025-06-15,2025-04-01,2025-07-30,2025-07-30,106,120,45,100,0,NO,YES,D-E-015,Complete
D-E-025,IFC Drawings — Electrical,2.0 Engineering,Electrical Engineering,2025-03-15,2025-06-30,2025-04-10,2025-07-20,2025-07-20,107,101,20,100,4,NO,NO,D-E-020,Complete
D-E-030,Vendor Drawing Approvals — Column Internals,2.0 Engineering,Process Engineering,2025-06-01,2025-09-01,2025-07-15,2025-11-10,2025-11-10,92,118,70,100,0,NO,YES,D-E-005,Complete
D-P-001,Column Internals — Procurement & Delivery,3.0 Procurement,Procurement,2025-06-01,2026-04-15,2025-07-01,,2026-07-10,319,,,40,0,YES,YES,D-E-030,In Progress
D-P-010,Structural Steel Supply,3.0 Procurement,Procurement,2025-04-01,2025-10-15,2025-04-15,2025-10-28,2025-10-28,197,197,13,100,15,NO,NO,D-E-015,Complete
D-P-020,Piping Materials Supply — Train A,3.0 Procurement,Procurement,2025-05-01,2025-12-01,2025-06-01,2025-12-20,2025-12-20,214,203,19,100,8,NO,NO,D-E-020,Complete
D-P-030,Electrical Cables & Equipment,3.0 Procurement,Procurement,2025-06-01,2026-01-15,2025-07-01,2026-02-10,2026-02-10,228,224,26,100,5,NO,NO,D-E-025,Complete
D-P-040,Instrumentation Packages,3.0 Procurement,Procurement,2025-07-01,2026-02-01,2025-08-01,,2026-03-15,215,,42,90,6,NO,NO,D-E-025,In Progress
D-P-045,Heat Exchanger Bundle,3.0 Procurement,Procurement,2025-08-01,2026-05-20,2025-09-15,,2026-07-28,292,,69,65,3,NO,NO,D-E-030,In Progress
D-C-001,Site Clearance & Grading,4.0 Construction,Civil,2025-03-01,2025-04-30,2025-03-10,2025-05-15,2025-05-15,61,66,15,100,20,NO,NO,,Complete
D-C-005,Excavation Works,4.0 Construction,Civil,2025-04-15,2025-06-30,2025-06-01,2025-08-20,2025-08-20,76,80,51,100,0,NO,YES,D-C-001,Complete
D-C-010,Piling Works,4.0 Construction,Civil,2025-05-01,2025-07-31,2025-06-20,2025-09-10,2025-09-10,91,82,41,100,0,NO,YES,D-C-005,Complete
D-C-015,Column Foundation — Concrete Works,4.0 Construction,Civil,2025-07-15,2026-03-20,2025-10-15,,2026-06-05,249,,,62,0,YES,YES,D-C-010,In Progress
D-C-020,Equipment Pads — Heat Exchanger,4.0 Construction,Civil,2025-08-01,2026-03-01,2025-10-01,,2026-05-15,212,,75,55,5,NO,NO,D-C-010,In Progress
D-C-022,Structural Steel Erection — Main Frame,4.0 Construction,Structural,2025-10-01,2026-05-10,,,2026-08-25,221,,107,0,2,NO,YES,D-C-015 D-P-010,Not Started
D-C-030,Underground Piping — Main Headers,4.0 Construction,Piping,2025-09-01,2026-04-15,2025-11-01,,2026-07-01,226,,77,40,0,NO,YES,D-C-015,In Progress
D-C-035,Aboveground Piping Prefabrication,4.0 Construction,Piping,2025-10-01,2026-06-01,2025-11-15,,2026-08-01,243,,61,50,0,NO,YES,D-P-020,In Progress
D-C-060,Piping Installation — Train A,4.0 Construction,Piping,2026-01-15,2026-07-15,,,2026-10-20,181,,97,0,0,NO,YES,D-C-035 D-P-001,Not Started
D-C-070,Column Erection,4.0 Construction,Structural,2026-04-01,2026-07-01,,,2026-09-15,91,,106,0,0,YES,YES,D-C-015 D-P-001,Not Started
D-E-031,Main Substation — Cable Pulling,4.0 Construction,Electrical,2026-01-01,2026-06-30,,,2026-09-12,180,,74,0,1,NO,YES,D-P-030 D-C-022,Not Started
D-E-040,Instrumentation Installation — Train A,4.0 Construction,Instrumentation,2026-04-01,2026-08-31,,,2026-11-15,153,,76,0,3,NO,NO,D-P-040 D-C-060,Not Started
D-C-080,Insulation & Painting Works,4.0 Construction,Civil,2026-06-01,2026-10-31,,,2027-01-20,153,,81,0,5,NO,NO,D-C-060 D-C-070,Not Started
D-MC-001,Mechanical Completion (MC),5.0 Commissioning,Commissioning,2026-12-01,2026-12-01,,,2027-03-15,1,,104,0,0,YES,YES,D-C-080 D-E-031 D-E-040,Not Started
D-MC-010,Pre-Commissioning Activities,5.0 Commissioning,Commissioning,2026-10-01,2027-01-15,,,2027-04-01,107,,77,0,0,NO,YES,D-C-060 D-E-031,Not Started
D-MC-020,Loop Checks & Functional Testing,5.0 Commissioning,Commissioning,2027-01-01,2027-03-15,,,2027-05-01,74,,47,0,0,NO,YES,D-MC-010,Not Started
D-MC-002,Ready for Start-Up (RFSU),5.0 Commissioning,Commissioning,2027-02-01,2027-02-01,,,2027-05-20,1,,108,0,0,YES,YES,D-MC-001 D-MC-020,Not Started
